SupplierID,OnTimeDeliveryRate,LeadTime,OrderFulfillmentAccuracy,ReturnRate,ComplianceScore,COGS,PaymentTermsCompliance,SupplierRating,ContractBreachFrequency,Flexibility,InventoryAccuracy,ComplaintRate,TCO,Flag
10000,87.48357077,3.699677718,86.62410863,0.092192442,92.40951919,95.76240318,91.65775593,4.892592541,0,92.13975951,89.04961376,5.57495935,89.33969384,GOOD SUPPLIER
10001,84.30867849,3.462316841,89.27740665,1.139614989,94.90638953,95.46585892,93.1072075,3.611159519,0,87.3812638,93.76065475,5.319692099,130.8579063,BAD SUPPLIER
10002,88.23844269,3.029815185,86.0379004,1.586394467,95.05405062,82.04356827,92.17381945,4.857372825,1,92.61219455,87.15913886,2.465885796,110.1427953,GOOD SUPPLIER
10003,92.61514928,2.676531611,88.46019235,3.887687657,96.41789104,96.69909808,93.35601254,4.383137971,0,82.90457574,85.76772754,4.587829254,99.81132832,GOOD SUPPLIER
10004,83.82923313,3.349111657,80.53192667,2.556553125,90.89942491,107.3282908,94.35754907,4.853728855,0,78.3221549,80.99612771,5.365231567,113.063601,GOOD SUPPLIER
10005,83.82931522,3.196742693,91.06646854,0.664518431,96.77770182,87.25767881,97.51146346,4.888465846,0,81.65470258,88.06682901,2.751193009,98.55485281,GOOD SUPPLIER
10006,92.89606408,3.44759661,90.00602738,2.486036289,86.88682511,110.4848265,94.03652288,5,0,82.18601535,93.86590756,1.496488166,90.9045112,GOOD SUPPLIER
10007,88.83717365,3.317585901,85.91455684,0.452696011,93.11034634,104.8777482,90.24312288,5,1,93.02263964,85.63548162,7.257665494,105.7907027,GOOD SUPPLIER
10008,82.65262807,3.524776358,93.29622834,3.082691054,93.53517847,92.65766678,98.42020354,5,1,88.68206872,90.08936053,5.101677053,112.000727,GOOD SUPPLIER
10009,87.71280022,2.732382394,94.68785069,1.528875348,96.89998048,98.58470363,92.4887296,5,0,81.81271738,88.87895364,5.419958562,117.784109,BAD SUPPLIER
10010,82.68291154,3.658697033,81.96220068,1.906363811,95.06789256,115.9832181,94.82383872,4.645689492,0,89.04205588,86.66688222,6.111253646,109.9773011,BAD SUPPLIER
10011,82.67135123,3.098799802,86.18637611,3.325796648,90.78331084,107.3354781,96.33960952,4.516092544,0,84.35209444,94.188528,3.035666099,99.70654476,GOOD SUPPLIER
10012,86.20981136,4.037630436,86.15428825,0.712836431,92.04502062,100.0878365,95.59883126,4.936408542,0,93.17275846,98.21136141,4.193008412,118.8627608,GOOD SUPPLIER
10013,75.43359878,2.655406091,85.30048449,0.602881815,95.59604003,97.62316683,98.28253864,4.866040476,0,83.33149378,95.02168972,8.008135209,116.6297583,GOOD SUPPLIER
10014,76.37541084,3.867981902,94.14737421,1.416400674,94.76279797,100.7660907,96.43700943,4.345466882,0,77.30555371,86.52031799,4.022689207,107.6901753,GOOD SUPPLIER
10015,82.18856235,3.098955392,89.03086931,3.038378851,93.26262767,94.88236442,92.41607126,4.702411704,1,84.06624467,99.96182832,4.468289409,117.1077775,GOOD SUPPLIER
10016,79.9358444,2.674290998,88.67742579,0.480653925,93.55749863,78.95250494,100,4.482451767,0,83.33422834,95.00701455,3.66102367,126.8481031,GOOD SUPPLIER
10017,86.57123666,2.758057083,79.98068818,0,97.08850399,120.4217791,95.58300039,4.073033546,0,78.28386676,87.71321466,3.518291547,99.5641606,BAD SUPPLIER
10018,80.45987962,2.839826346,93.17709015,1.548841142,93.44692228,101.55325,94.55797932,5,0,87.92955879,86.12336809,7.210962705,96.00322318,GOOD SUPPLIER
10019,77.93848149,3.212082973,83.80370803,2.5517408,94.73572627,103.9814727,97.89177627,4.527599621,0,92.12359415,95.60519632,0.046636888,99.2731081,GOOD SUPPLIER
10020,92.32824384,3.261417744,90.29966315,3.20026175,100,99.4209225,95.74835284,5,1,79.38757838,90.86884601,4.08597236,91.5034997,GOOD SUPPLIER
10021,83.8711185,2.713149998,91.38688469,1.536838638,90.72895209,92.64883199,96.19768458,3.687253865,0,89.86355196,85.74617576,5.450820285,110.9121478,GOOD SUPPLIER
10022,85.33764102,2.987822704,96.80329298,1.588573393,89.44447181,98.14075519,100,4.221610614,0,81.96684586,89.2594551,8.393582197,88.90096799,BAD SUPPLIER
10023,77.87625907,4.071135179,83.455898,3.153900734,97.35076899,84.00605238,94.17463572,4.516319418,0,84.87640722,87.96401591,2.729549288,117.6501423,GOOD SUPPLIER
10024,82.27808638,3.863771585,74.90243922,0.1302583,92.96407082,122.770865,94.04671732,5,0,84.35113888,85.87970441,2.388657306,98.27818364,GOOD SUPPLIER
10025,85.55461295,3.218161835,90.91924772,1.611479225,94.04528742,87.65488002,95.34973554,4.699734686,0,84.87644567,95.07293127,3.279799357,118.587078,GOOD SUPPLIER
10026,79.24503211,3.019001739,99.00255591,2.19042389,92.65653087,89.68033716,98.21454781,4.655236377,0,87.36541336,93.90862094,6.403410794,79.42961702,GOOD SUPPLIER
